Pgen-contig,Hit-evalue,Hit-Entry,Hit-Gene ontology (GO),Hit-Protein names,Hit-Organism
Pgenerosa-v1_contig_26065,3.00E-20,Q6P3V2,"metal ion binding; nucleic acid binding; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Zinc finger protein 585A,Homo sapiens (Human)
Pgenerosa-v1_contig_26078,5.00E-17,Q01082,Golgi to plasma membrane protein transport; M band; SMAD protein import into nucleus; actin binding; actin filament capping; ankyrin binding; axolemma; axon guidance; common-partner SMAD protein phosphorylation; cuticular plate; cytosol; membrane assembly; mitotic cytokinesis; nucleolus; phospholipid binding; protein targeting to plasma membrane; spectrin; spectrin-associated cytoskeleton; structural constituent of cytoskeleton,"Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)",Homo sapiens (Human)
Pgenerosa-v1_contig_2608,0,P07742,"ATP binding; DNA replication; deoxyribonucleotide biosynthetic process; protein heterotetramerization; purine nucleotide binding; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; ribonucleoside-diphosphate reductase complex",Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit),Mus musculus (Mouse)
Pgenerosa-v1_contig_26080,0,Q6ZMV9,ATP binding; cytoplasm; kinesin complex; microtubule; microtubule motor activity; microtubule-based movement,Kinesin-like protein KIF6,Homo sapiens (Human)
Pgenerosa-v1_contig_26081,1.00E-36,Q8CFI0,cytoplasm; negative regulation of sodium ion transport; negative regulation of systemic arterial blood pressure; nucleus; positive regulation of cation channel activity; positive regulation of sodium ion transport; protein ubiquitination involved in ubiquitin-dependent protein catabolic process; regulation of tight junction assembly; response to salt stress; sodium channel inhibitor activity; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway; ubiquitin-protein ligase activity,E3 ubiquitin-protein ligase NEDD4-like (EC 6.3.2.-) (NEDD4.2) (Nedd4-2),Mus musculus (Mouse)
Pgenerosa-v1_contig_26083,3.00E-37,Q58A42,integral to membrane,Protein DD3-3,Dictyostelium discoideum (Slime mold)
Pgenerosa-v1_contig_26084,3.00E-09,A2RV61,GTPase activating protein binding; GTPase activator activity; cytosol; endocytosis; endosome; guanyl-nucleotide exchange factor activity; membrane; positive regulation of GTPase activity; regulation of protein transport; regulation of small GTPase mediated signal transduction; signal transduction,GTPase-activating protein and VPS9 domain-containing protein 1,Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_26085,4.00E-10,Q9BYN7,"DNA binding; metal ion binding; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Zinc finger protein 341,Homo sapiens (Human)
Pgenerosa-v1_contig_26090,4.00E-27,Q9Z138,"ATP binding; JNK cascade; Wnt receptor signaling pathway, calcium modulating pathway; Wnt receptor signaling pathway, planar cell polarity pathway; cartilage condensation; cell differentiation; embryonic genitalia morphogenesis; inner ear morphogenesis; integral to plasma membrane; negative regulation of canonical Wnt receptor signaling pathway; negative regulation of cell proliferation; positive regulation of canonical Wnt receptor signaling pathway; positive regulation of cell migration; positive regulation of transcription, DNA-dependent; somitogenesis; transmembrane receptor protein tyrosine kinase activity; transmembrane receptor protein tyrosine kinase signaling pathway","Tyrosine-protein kinase transmembrane receptor ROR2 (mROR2) (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)",Mus musculus (Mouse)
Pgenerosa-v1_contig_26091,1.00E-50,,,,
Pgenerosa-v1_contig_26092,3.00E-60,O43293,"ATP binding; PML body; apoptotic process; cellular response to interferon-gamma; chromatin modification; chromosome, centromeric region; cytokinesis; cytoplasm; intracellular protein kinase cascade; microtubule organizing center; negative regulation of translation; neuron differentiation; nucleus; positive regulation of canonical Wnt receptor signaling pathway; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand; protein autophosphorylation; protein homodimerization activity; protein serine/threonine kinase activity; regulation of actin cytoskeleton reorganization; regulation of apoptotic process; regulation of autophagy; regulation of cell motility; regulation of mitosis; regulation of smooth muscle contraction; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase),Homo sapiens (Human)
Pgenerosa-v1_contig_26093,2.00E-19,Q5XIU2,"DNA binding; metal ion binding; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Zinc finger protein 143 (Zfp-143) (Selenocysteine tRNA gene transcription-activating factor),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_26094,6.00E-28,P70345,Sertoli cell proliferation; cytosol; extrinsic apoptotic signaling pathway in absence of ligand; mitochondrial membrane; negative regulation of apoptotic process,Bcl-2-like protein 2 (Bcl2-L-2) (Apoptosis regulator Bcl-W) (c98),Mus musculus (Mouse)
Pgenerosa-v1_contig_26096,1.00E-18,P20825,DNA integration; RNA binding; RNA-dependent DNA replication; RNA-directed DNA polymerase activity; aspartic-type endopeptidase activity; endonuclease activity; nucleic acid phosphodiester bond hydrolysis; proteolysis,Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease],Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_26099,4.00E-22,,,,
Pgenerosa-v1_contig_26107,2.00E-62,Q08BA6,"mRNA export from nucleus; mRNA processing; metal ion binding; nuclear speck; oxidative RNA demethylase activity; oxidative single-stranded RNA demethylation; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; response to hypoxia; spermatogenesis",RNA demethylase ALKBH5 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_26108,2.00E-43,Q4V837,Cul4A-RING ubiquitin ligase complex; Cul4B-RING ubiquitin ligase complex; DNA replication; G2 DNA damage checkpoint; centrosome; chromosome; cytoplasm; nucleus; protein monoubiquitination; protein polyubiquitination; regulation of cell cycle; response to UV; translesion synthesis; ubiquitin-dependent protein catabolic process,Denticleless protein homolog A,Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_26113,5.00E-15,Q8NCG5,N-acetylglucosamine 6-O-sulfotransferase activity; N-acetylglucosamine metabolic process; carbohydrate metabolic process; cell adhesion; cell-cell signaling; cellular component movement; immune response; inflammatory response; integral to membrane; intrinsic to Golgi membrane; leukocyte tethering or rolling; protein sulfation; trans-Golgi network,Carbohydrate sulfotransferase 4 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 3) (GST-3) (High endothelial cells N-acetylglucosamine 6-O-sulfotransferase) (HEC-GlcNAc6ST) (L-selectin ligand sulfotransferase) (LSST) (N-acetylglucosamine 6-O-sulfotransferase 2) (GlcNAc6ST-2) (Gn6st-2),Homo sapiens (Human)
Pgenerosa-v1_contig_26117,2.00E-17,Q8TF32,"DNA binding; metal ion binding; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Zinc finger protein 431,Homo sapiens (Human)
Pgenerosa-v1_contig_26119,1.00E-41,O34363,L-amino-acid oxidase activity,Putative L-amino-acid oxidase YobN (EC 1.4.3.2),Bacillus subtilis (strain 168)
Pgenerosa-v1_contig_26120,2.00E-26,Q6DHB5,integral to membrane,Lipoma HMGIC fusion partner-like 3 protein,Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_26122,2.00E-12,Q80X66,nucleus,BTB/POZ domain-containing protein 10,Mus musculus (Mouse)
Pgenerosa-v1_contig_26124,8.00E-33,Q6GQN7,,Rab9 effector protein with kelch motifs,Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_26125,4.00E-38,Q8NFA0,Golgi apparatus; calcium ion binding; cysteine-type peptidase activity; membrane; protein deubiquitination; ubiquitin thiolesterase activity; ubiquitin-dependent protein catabolic process,Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Renal carcinoma antigen NY-REN-60) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32),Homo sapiens (Human)
Pgenerosa-v1_contig_26126,3.00E-41,A1A4R8,anaphase-promoting complex; cell division; mitotic metaphase plate congression; protein K11-linked ubiquitination; regulation of mitotic metaphase/anaphase transition,Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8),Bos taurus (Bovine)
Pgenerosa-v1_contig_26127,1.00E-10,Q32KN2,integral to membrane; mitochondrial outer membrane; mitochondrial outer membrane permeabilization; mitochondrial protein catabolic process; positive regulation of apoptotic process,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,Bos taurus (Bovine)
Pgenerosa-v1_contig_2613,8.00E-89,Q4LE39,"DNA binding; cytoplasm; histone H3-K9 trimethylation; histone H4-K20 trimethylation; nucleus; regulation of gene expression by genetic imprinting; regulation of transcription, DNA-dependent; transcription, DNA-dependent",AT-rich interactive domain-containing protein 4B (ARID domain-containing protein 4B) (180 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p180) (Breast cancer-associated antigen BRCAA1) (Histone deacetylase complex subunit SAP180) (Retinoblastoma-binding protein 1-like 1),Homo sapiens (Human)
Pgenerosa-v1_contig_26130,3.00E-26,Q9DAT2,"H4/H2A histone acetyltransferase complex; chromatin modification; regulation of growth; regulation of transcription, DNA-dependent; transcription, DNA-dependent",MRG/MORF4L-binding protein (MRG-binding protein),Mus musculus (Mouse)
Pgenerosa-v1_contig_26143,3.00E-29,O70566,actin binding; actin filament polymerization; cell differentiation; multicellular organismal development; oogenesis,Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2) (mDia3),Mus musculus (Mouse)
Pgenerosa-v1_contig_2615,2.00E-161,Q4KLT3,cytoplasm; metal ion binding; methyltransferase activity; tRNA processing,Probable tRNA (uracil-O(2)-)-methyltransferase (EC 2.1.1.211) (Methyltransferase-like protein 19),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_26153,1.00E-22,Q96HW7,integrator complex; snRNA processing,Integrator complex subunit 4 (Int4),Homo sapiens (Human)
Pgenerosa-v1_contig_26154,3.00E-50,P80147,(S)-3-amino-2-methylpropionate transaminase activity; 4-aminobutyrate transaminase activity; 4-aminobutyrate transaminase complex; behavioral response to cocaine; cytosol; gamma-aminobutyric acid catabolic process; mitochondrial matrix; neurotransmitter catabolic process; protein homodimerization activity; pyridoxal phosphate binding; succinate-semialdehyde dehydrogenase binding,"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",Sus scrofa (Pig)
Pgenerosa-v1_contig_26155,1.00E-39,Q9GZT4,ATP binding; D-serine ammonia-lyase activity; D-serine biosynthetic process; L-serine ammonia-lyase activity; L-serine metabolic process; aging; apical part of cell; brain development; calcium ion binding; cytoplasm; glycine binding; magnesium ion binding; neuronal cell body; plasma membrane; protein homodimerization activity; protein homotetramerization; pyridoxal phosphate binding; pyruvate biosynthetic process; response to drug; response to lipopolysaccharide; response to morphine; serine racemase activity; threonine racemase activity,Serine racemase (EC 4.3.1.17) (EC 4.3.1.18) (EC 5.1.1.18) (D-serine ammonia-lyase) (D-serine dehydratase) (L-serine ammonia-lyase) (L-serine dehydratase),Homo sapiens (Human)
Pgenerosa-v1_contig_26158,2.00E-37,Q17QK8,cytoplasm; nitric oxide biosynthetic process; nucleus; sepiapterin reductase activity; tetrahydrobiopterin biosynthetic process,Sepiapterin reductase (SPR) (EC 1.1.1.153),Bos taurus (Bovine)
Pgenerosa-v1_contig_26160,8.00E-57,Q6NXW6,"ATP binding; DNA damage checkpoint; DNA repair; chromosome, telomeric region; mitotic cell cycle checkpoint; multicellular organismal development; negative regulation of DNA replication; nucleoside-triphosphatase activity; nucleus; regulation of phosphorylation; response to DNA damage stimulus",Cell cycle checkpoint protein RAD17,Mus musculus (Mouse)
Pgenerosa-v1_contig_26162,3.00E-34,P24367,endoplasmic reticulum lumen; peptide binding; peptidyl-prolyl cis-trans isomerase activity; protein folding; protein peptidyl-prolyl isomerization,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP),Gallus gallus (Chicken)
Pgenerosa-v1_contig_26163,5.00E-71,P62071,GTP binding; GTPase activity; Ras protein signal transduction; intracellular; plasma membrane; positive regulation of cell migration,Ras-related protein R-Ras2,Mus musculus (Mouse)
Pgenerosa-v1_contig_2617,1.00E-82,Q9VT65,border follicle cell migration; calcium ion binding; calcium-dependent cysteine-type endopeptidase activity; cytoplasm; membrane; protein autoprocessing; proteolysis,Calpain-B (EC 3.4.22.-) (Calcium-activated neutral proteinase B) (CANP B) [Cleaved into: Calpain-B catalytic subunit 1; Calpain-B catalytic subunit 2],Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_26171,5.00E-19,O89026,axolemma; axon midline choice point recognition; integral to membrane; mammary duct terminal end bud growth; negative regulation of cell proliferation; olfactory bulb interneuron development,Roundabout homolog 1,Mus musculus (Mouse)
Pgenerosa-v1_contig_26174,1.00E-13,Q13231,chitin binding; chitin catabolic process; endochitinase activity; extracellular space; immune response; lysosome; polysaccharide catabolic process; response to bacterium,Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1),Homo sapiens (Human)
Pgenerosa-v1_contig_26175,1.00E-13,Q8NBH2,Z disc; cytoskeleton; muscle organ development; neuromuscular junction development; peptidase activity; proteolysis,Kyphoscoliosis peptidase (EC 3.4.-.-),Homo sapiens (Human)
Pgenerosa-v1_contig_26176,3.00E-26,Q8JG33,extracellular region; serine-type endopeptidase inhibitor activity,WAP four-disulfide core domain protein 1 (Protein ps20),Gallus gallus (Chicken)
Pgenerosa-v1_contig_26179,7.00E-87,Q99PV3,cytoplasm,Muskelin,Rattus norvegicus (Rat)
Pgenerosa-v1_contig_26180,1.00E-58,P41235,RNA polymerase II activating transcription factor binding; RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription; RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity; SMAD protein signal transduction; blood coagulation; cytoplasm; endocrine pancreas development; fatty acid binding; glucose homeostasis; intracellular receptor signaling pathway; ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity; lipid metabolic process; negative regulation of cell growth; negative regulation of cell proliferation; nucleoplasm; ornithine metabolic process; phospholipid homeostasis; positive regulation of cholesterol homeostasis; protein homodimerization activity; receptor binding; regulation of gastrulation; regulation of growth hormone receptor signaling pathway; regulation of insulin secretion; regulation of lipid metabolic process; response to glucose stimulus; sequence-specific DNA binding; sex differentiation; signal transduction involved in regulation of gene expression; steroid hormone receptor activity; transcription initiation from RNA polymerase II promoter; transcription regulatory region DNA binding; triglyceride homeostasis; xenobiotic metabolic process; zinc ion binding,Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1) (Transcription factor 14) (TCF-14) (Transcription factor HNF-4),Homo sapiens (Human)
Pgenerosa-v1_contig_26186,1.00E-17,Q80V63,"DNA binding; metal ion binding; methyltransferase activity; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",PR domain zinc finger protein 4 (EC 2.1.1.-) (PR domain-containing protein 4),Mus musculus (Mouse)
Pgenerosa-v1_contig_26187,3.00E-20,Q92010,"DNA binding; metal ion binding; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Zinc finger and BTB domain-containing protein 14 (Zinc finger protein 161 homolog) (Zfp-161) (Zinc finger protein 5) (ZF5),Gallus gallus (Chicken)
Pgenerosa-v1_contig_26189,1.00E-68,Q8HXN7,"cell cycle; cell division; chromatin binding; modulation by virus of host morphology or physiology; positive transcription elongation factor complex b; protein phosphorylation; regulation of cyclin-dependent protein serine/threonine kinase activity; regulation of transcription, DNA-dependent; snRNA binding; transcription regulatory region DNA binding; transcription, DNA-dependent",Cyclin-T1 (CycT1) (Cyclin-T),Pan troglodytes (Chimpanzee)
Pgenerosa-v1_contig_26194,6.00E-07,A0R5M8,"N-alpha,N-alpha,N-alpha-trimethyl-L-histidine biosynthesis from histidine; dimethylhistidine N-methyltransferase activity; ergothioneine biosynthesis from histidine via N-alpha,N-alpha,N-alpha-trimethyl-L-histidine; protein methyltransferase activity",Histidine-specific methyltransferase EgtD (EC 2.1.1.44) (Histidine-alpha-N-methyltransferase),Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)
Pgenerosa-v1_contig_26195,3.00E-46,Q8R508,calcium ion binding; homophilic cell adhesion; integral to membrane; multicellular organismal development; plasma membrane,Protocadherin Fat 3 (FAT tumor suppressor homolog 3),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_26199,5.00E-32,Q5ZI11,,Leucine-rich repeat-containing protein 45,Gallus gallus (Chicken)
Pgenerosa-v1_contig_2620,2.00E-34,Q5UCC4,ER membrane protein complex; extracellular region,ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1),Homo sapiens (Human)
Pgenerosa-v1_contig_26203,1.00E-57,Q5U3U3,carnitine O-palmitoyltransferase activity; fatty acid beta-oxidation; mitochondrial inner membrane; transport,"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)",Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_26207,5.00E-12,Q6UVK1,Golgi lumen; activation of MAPK activity; angiogenesis; apical plasma membrane; carbohydrate metabolic process; cell proliferation; cell surface; chondroitin sulfate biosynthetic process; chondroitin sulfate catabolic process; dermatan sulfate biosynthetic process; extracellular region; glial cell migration; integral to plasma membrane; intracellular signal transduction; lamellipodium membrane; lysosomal lumen; positive regulation of peptidyl-tyrosine phosphorylation; signal transducer activity; tissue remodeling; transmembrane receptor protein tyrosine kinase signaling pathway,Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (Melanoma chondroitin sulfate proteoglycan) (Melanoma-associated chondroitin sulfate proteoglycan),Homo sapiens (Human)
Pgenerosa-v1_contig_26209,8.00E-19,Q8C428,integral to membrane; ion transport,Transmembrane channel-like protein 7,Mus musculus (Mouse)
Pgenerosa-v1_contig_2621,5.00E-84,Q5ZLD7,Golgi apparatus; endosome membrane; protein transport,Vacuolar protein sorting-associated protein 53 homolog,Gallus gallus (Chicken)
Pgenerosa-v1_contig_26211,8.00E-15,Q8AVI4,nucleus; positive regulation of Ras protein signal transduction; protein phosphatase binding; protein phosphatase type 1 complex,Leucine-rich repeat protein SHOC-2 (Protein soc-2 homolog) (Protein sur-8 homolog),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_26213,2.00E-52,Q86WI1,cytosol; extracellular space; immune response; integral to membrane; receptor activity,Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1),Homo sapiens (Human)
Pgenerosa-v1_contig_26216,2.00E-79,Q71SP7,"3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity; 3-oxoacyl-[acyl-carrier-protein] synthase activity; [acyl-carrier-protein] S-acetyltransferase activity; [acyl-carrier-protein] S-malonyltransferase activity; enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity; fatty acid biosynthetic process; melanosome; myristoyl-[acyl-carrier-protein] hydrolase activity; oleoyl-[acyl-carrier-protein] hydrolase activity; palmitoyl-[acyl-carrier-protein] hydrolase activity; zinc ion binding",Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],Bos taurus (Bovine)
Pgenerosa-v1_contig_2622,9.00E-51,Q8TDB6,cytoplasm; double-strand break repair; histone binding; histone monoubiquitination; nucleus; ubiquitin-protein ligase activity; zinc ion binding,E3 ubiquitin-protein ligase DTX3L (EC 6.3.2.-) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (Rhysin-2) (Rhysin2),Homo sapiens (Human)
Pgenerosa-v1_contig_26227,1.00E-20,Q8K2Y9,blood vessel endothelial cell differentiation; cell-cell junction organization; cytoplasm; endothelial cell development; endothelial tube morphogenesis; in utero embryonic development; inner ear development; multicellular organism growth; pericardium development; protein complex; vasculogenesis; venous blood vessel morphogenesis,Malcavernin (Cerebral cavernous malformations protein 2 homolog) (Osmosensing scaffold for MEKK3),Mus musculus (Mouse)
Pgenerosa-v1_contig_2623,7.00E-75,A0JNI5,RNA splicing; mRNA processing; nucleus,"CLK4-associating serine/arginine rich protein (Splicing factor, arginine/serine-rich 16)",Bos taurus (Bovine)
Pgenerosa-v1_contig_26234,4.00E-68,Q96FN5,ATP binding; cytoplasm; kinesin complex; microtubule; microtubule motor activity; microtubule-based movement,Kinesin-like protein KIF12,Homo sapiens (Human)
Pgenerosa-v1_contig_26239,1.00E-12,P35555,basement membrane; calcium ion binding; extracellular matrix organization; extracellular matrix structural constituent; extracellular space; heart development; microfibril; sequestering of BMP in extracellular matrix; sequestering of TGFbeta in extracellular matrix; skeletal system development,Fibrillin-1,Homo sapiens (Human)
Pgenerosa-v1_contig_2624,7.00E-23,Q5NUA6,"cytosol; nucleus; proteasomal ubiquitin-dependent protein catabolic process; proteasomal ubiquitin-independent protein catabolic process; protein ubiquitination; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; transcription, DNA-dependent","Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nuclear factor, erythroid derived 2, like 2)",Bos taurus (Bovine)
Pgenerosa-v1_contig_26240,2.00E-07,O60290,"metal ion binding; nucleic acid binding; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Zinc finger protein 862,Homo sapiens (Human)
Pgenerosa-v1_contig_26241,4.00E-47,Q6P2B1,cytoplasm; nucleus; splicing factor protein import into nucleus,Transportin-3,Mus musculus (Mouse)
Pgenerosa-v1_contig_2625,1.00E-38,A1A5Q4,,UPF0704 protein C6orf165 homolog,Rattus norvegicus (Rat)
Pgenerosa-v1_contig_26253,1.00E-95,P29122,"Golgi lumen; cell surface; determination of left/right symmetry; endomembrane system; endoplasmic reticulum; extracellular matrix; extracellular space; glycoprotein metabolic process; heparin binding; membrane; nerve growth factor binding; nerve growth factor processing; nerve growth factor production; neurotrophin TRK receptor signaling pathway; proteolysis; regulation of BMP signaling pathway; secretion by cell; serine-type endopeptidase activity; zygotic determination of anterior/posterior axis, embryo",Proprotein convertase subtilisin/kexin type 6 (EC 3.4.21.-) (Paired basic amino acid cleaving enzyme 4) (Subtilisin-like proprotein convertase 4) (SPC4) (Subtilisin/kexin-like protease PACE4),Homo sapiens (Human)
Pgenerosa-v1_contig_26255,2.00E-69,Q9Y4C8,RNA binding; chromosome; cytoplasm; multicellular organismal development; nucleolus; nucleoplasm; nucleotide binding; positive regulation of embryonic development,Probable RNA-binding protein 19 (RNA-binding motif protein 19),Homo sapiens (Human)
Pgenerosa-v1_contig_26257,3.00E-09,P0DKX0,"intracellular; metal ion binding; nucleic acid binding; regulation of transcription, DNA-dependent",Zinc finger protein 728,Homo sapiens (Human)
Pgenerosa-v1_contig_2626,4.00E-71,Q792I0,basolateral plasma membrane; cell-cell junction; exocytosis; neuron projection; neurotransmitter secretion; postsynaptic density; postsynaptic membrane; protein transport; synapse; tight junction,Protein lin-7 homolog C (Lin-7C) (Mammalian lin-seven protein 3) (MALS-3) (Vertebrate lin-7 homolog 3) (Veli-3),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_26263,6.00E-64,O46432,alpha-mannosidase activity; carbohydrate binding; lysosome; mannose metabolic process; zinc ion binding,Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B),Felis catus (Cat) (Felis silvestris catus)
Pgenerosa-v1_contig_26264,3.00E-13,Q96SD1,5'-3' exonuclease activity; B cell differentiation; DNA recombination; double-strand break repair; nucleus; response to ionizing radiation; single-stranded DNA endodeoxyribonuclease activity; telomere maintenance,Protein artemis (EC 3.1.-.-) (DNA cross-link repair 1C protein) (Protein A-SCID) (SNM1 homolog C) (hSNM1C) (SNM1-like protein),Homo sapiens (Human)
Pgenerosa-v1_contig_26265,7.00E-33,Q05DH4,,Protein FAM160A1,Homo sapiens (Human)
Pgenerosa-v1_contig_26268,9.00E-34,A4FUD6,apoptotic process; cell chemotaxis; cytoskeleton; cytosol; membrane; phagocytosis; phospholipid binding,Engulfment and cell motility protein 2,Bos taurus (Bovine)
Pgenerosa-v1_contig_26269,9.00E-79,Q96RV3,integral to membrane,Pecanex-like protein 1 (Pecanex homolog),Homo sapiens (Human)
Pgenerosa-v1_contig_2627,1.00E-103,Q07954,"aorta morphogenesis; apolipoprotein binding; apoptotic cell clearance; beta-amyloid clearance; calcium ion binding; cholesterol metabolic process; coated pit; endocytic vesicle membrane; integral to plasma membrane; lipoprotein particle receptor binding; lipoprotein transporter activity; lysosomal membrane; negative regulation of Wnt receptor signaling pathway; negative regulation of platelet-derived growth factor receptor-beta signaling pathway; negative regulation of smooth muscle cell migration; nucleus; phototransduction, visible light; positive regulation of cholesterol efflux; protein complex binding; receptor activity; receptor-mediated endocytosis; regulation of actin cytoskeleton organization; regulation of phospholipase A2 activity; retinoid metabolic process",Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)],Homo sapiens (Human)
Pgenerosa-v1_contig_26272,5.00E-06,Q6P2C0,"electron transport chain; oxidoreductase activity, acting on NAD(P)H",WD repeat-containing protein 93,Homo sapiens (Human)
Pgenerosa-v1_contig_26274,2.00E-10,D5EY15,"alpha-N-arabinofuranosidase activity; xylan 1,4-beta-xylosidase activity; xylan catabolic process","Xylan 1,4-beta-xylosidase (EC 3.2.1.37) (1,4-beta-D-xylan xylohydrolase) (Alpha-L-arabinofuranosidase) (Alpha-N-arabinofuranosidase) (Arabinosidase) (EC 3.2.1.55) (Beta-D-xylosidase) (Exo-1,4-beta-xylosidase)",Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23)
